7	1	1773595447742	1773595464607	16865	78	78
11	1	1773595447734	1773595464666	16932	78	78
1	1	1773595447707	1773595464733	17026	78	78
4	1	1773595447714	1773595464803	17089	78	78
3	1	1773595447715	1773595464727	17012	78	78
14	1	1773595447809	1773595464776	16967	78	78
12	1	1773595447742	1773595464762	17020	78	78
15	1	1773595447729	1773595464878	17149	78	78
13	1	1773595447730	1773595464921	17191	78	78
2	1	1773595447731	1773595464820	17089	78	78
9	1	1773595447747	1773595464941	17194	78	78
10	1	1773595447730	1773595465134	17404	78	78
16	1	1773595447741	1773595465263	17522	78	78
5	1	1773595447722	1773595465359	17637	78	78
6	1	1773595447714	1773595465516	17802	78	78
8	1	1773595447732	1773595465608	17876	78	78
7	2	1773595464706	1773595483103	18397	78	78
10	2	1773595465218	1773595483152	17934	78	78
4	2	1773595464928	1773595483266	18338	78	78
13	2	1773595465021	1773595483216	18195	78	78
14	2	1773595464931	1773595483263	18332	78	78
12	2	1773595464933	1773595483217	18284	78	78
2	2	1773595465050	1773595483322	18272	78	78
6	2	1773595465607	1773595483323	17716	78	78
1	2	1773595464918	1773595483377	18459	78	78
5	2	1773595465448	1773595483375	17927	78	78
3	2	1773595464917	1773595483416	18499	78	78
11	2	1773595464758	1773595483431	18673	78	78
16	2	1773595465368	1773595483469	18101	78	78
8	2	1773595465747	1773595483479	17732	78	78
15	2	1773595465011	1773595483519	18508	78	78
9	2	1773595465069	1773595483518	18449	78	78
